,Unnamed: 0,Job Title,Location,Salary From,Salary To,Python,Java,C++,SQL,Javascript,linux,Average Salary
1022,1022.0,Menu Maintenance Support Analyst (QA Systems Analyst),FL,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1023,1023.0,Business Intelligence Developer - Ambulatory USFTGP,FL,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1024,1024.0,Data Engineer Associate Level,MD,62400.0,72800.0,1.0,0.0,0.0,1.0,0.0,0.0,72800.0
1025,1025.0,(VV) Data Scientist - Level 2 (TS/SCI w/Polygraph),MD,110317.90318416523,165887.75455820476,1.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1026,1026.0,Application Engineer IV - Hybrid/Remote,MD,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1027,1027.0,"Senior Backend Engineer, AI",MD,150000.0,190000.0,0.0,0.0,0.0,0.0,0.0,0.0,190000.0
1028,1028.0,"Earth Science: Modeling Core Dynamics: Geodynamo, Core-Mantle Interaction and Geomagnetic Data Assimilation",MD,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1029,1029.0,2023 Graduate - Data Scientist/Engineer - Decision Systems,MD,110317.90318416523,165887.75455820476,1.0,1.0,1.0,0.0,1.0,0.0,165887.75455820476
1030,1030.0,Programmer Analyst II (Bioinformatics),MD,110317.90318416523,165887.75455820476,1.0,1.0,0.0,1.0,1.0,1.0,165887.75455820476
1031,1031.0,Federal Health Leader,MD,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1032,1032.0,Technical Signals Analyst,MD,65400.0,149000.0,0.0,0.0,0.0,0.0,0.0,1.0,149000.0
1033,1033.0,Membership Database Administrator,US,110317.90318416523,165887.75455820476,0.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1034,1034.0,Investment Analyst,NY,161429.0,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1035,1035.0,Machine Learning Engineer (Entry Level),NY,110317.90318416523,165887.75455820476,1.0,0.0,1.0,0.0,0.0,0.0,165887.75455820476
1036,1036.0,Data Scientist III (Data Products),NY,148750.0,175000.0,0.0,0.0,0.0,1.0,0.0,0.0,175000.0
1037,1037.0,Quant Analytics VP - Digital Analytics,NY,133000.0,205000.0,1.0,0.0,0.0,1.0,0.0,0.0,205000.0
1038,1038.0,Senior Data Scientist,NY,145000.0,155000.0,1.0,0.0,0.0,1.0,0.0,0.0,155000.0
1039,1039.0,Senior Marketing Digital Data Analyst - Global Brand & Marketing Operations,NY,110317.90318416523,165887.75455820476,0.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1040,1040.0,"Senior Data Scientist, Marketing Mix Models",NY,130000.0,160000.0,1.0,0.0,0.0,1.0,0.0,0.0,160000.0
1041,1041.0,"Data Engineer, Investor Vertical",NY,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1042,1042.0,"AI Engineer, VP - Natural Language Processing (New York, NY)",NY,110317.90318416523,165887.75455820476,1.0,1.0,0.0,0.0,0.0,0.0,165887.75455820476
1043,1043.0,Sr. Azure Data Engineer,NY,110317.90318416523,165887.75455820476,0.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1044,1044.0,"Machine Learning Lead Architect, Creativity Apps",NY,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1045,1045.0,"Senior Software Engineer II, Machine Learning",NY,184000.0,216000.0,1.0,0.0,0.0,0.0,0.0,0.0,216000.0
1046,1046.0,"VP, Actuarial & Analytics - REMOTE",NY,150000.0,200000.0,1.0,0.0,0.0,1.0,0.0,0.0,200000.0
1047,1047.0,Machine Learning Engineer - Bloomberg Law,NY,165000.0,260000.0,1.0,1.0,0.0,0.0,0.0,0.0,260000.0
1048,1048.0,Enterprise Account Executive,NY,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1049,1049.0,Lead Data Scientist,WI,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1050,1050.0,SENIOR DATA ANALYST,NM,78583.0,165887.75455820476,0.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1051,1051.0,Senior Data Analyst,PA,110317.90318416523,165887.75455820476,0.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1052,1052.0,Data Scientist,PA,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1053,1053.0,"Data Management Analyst, Specialist",PA,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1054,1054.0,"Data Management Analyst, Specialist",PA,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1055,1055.0,Labs - Data Scientist - Senior Associate,PA,110317.90318416523,165887.75455820476,1.0,1.0,1.0,1.0,1.0,0.0,165887.75455820476
1056,1056.0,R&D Engineer Data Scientist Level 3-4,PA,110317.90318416523,165887.75455820476,1.0,1.0,1.0,0.0,0.0,0.0,165887.75455820476
1057,1057.0,"Area Manager, Fleet Safety",PA,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1058,1058.0,"Data Scientist, Mid",CO,73100.0,166000.0,1.0,0.0,0.0,1.0,0.0,0.0,166000.0
1059,1059.0,Statistical Analyst I,CO,65000.0,145000.0,0.0,0.0,0.0,0.0,0.0,0.0,145000.0
1060,1060.0,Signals Analyst Level 2,CO,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1061,1061.0,"Data Scientist, Crypto Investment Firm",CO,140000.0,170000.0,1.0,0.0,0.0,1.0,0.0,0.0,170000.0
1062,1062.0,Senior DevOps Engineer - Security Clearance Required,CO,110317.90318416523,165887.75455820476,1.0,1.0,0.0,1.0,1.0,1.0,165887.75455820476
1063,1063.0,Principal Data Science,IL,110317.90318416523,165887.75455820476,1.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1064,1064.0,Senior Data Science Manager,IL,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1065,1065.0,Machine Learning Engineer IV,IL,110317.90318416523,165887.75455820476,1.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1066,1066.0,Analyst - Research & Product Development,IL,110317.90318416523,165887.75455820476,1.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1067,1067.0,Financial Reporting Analyst,IL,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1068,1068.0,Master Data Manager,IL,90000.0,145000.0,0.0,0.0,0.0,0.0,0.0,0.0,145000.0
1069,1069.0,"Senior Backend Engineer, AI",IL,150000.0,190000.0,0.0,0.0,0.0,0.0,0.0,0.0,190000.0
1070,1070.0,"Lead Software Engineer, Data Engineering",IL,85300.0,170000.0,1.0,1.0,1.0,1.0,1.0,1.0,170000.0
1071,1071.0,Senior Machine Learning Engineer,IL,70300.0,139800.0,1.0,0.0,0.0,0.0,0.0,0.0,139800.0
1072,1072.0,Pricing Actuary Predictive Modeler,IL,117800.0,148200.0,1.0,0.0,0.0,1.0,0.0,0.0,148200.0
1073,1073.0,Data Analyst- Seasonal,MN,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1074,1074.0,Senior Data Engineer - SFL Scientific,MN,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,1.0,165887.75455820476
1075,1075.0,Administration B (Customer Support),MN,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1076,1076.0,"Senior Software Engineer, Data Engineering",NE,68300.0,140000.0,1.0,1.0,1.0,1.0,1.0,1.0,140000.0
1077,1077.0,Director of Data Science & Analytics,OH,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1078,1078.0,Business Intelligence Analyst,OH,65000.0,70000.0,1.0,0.0,0.0,1.0,0.0,0.0,70000.0
1079,1079.0,Advanced Analytics Leader,OH,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1080,1080.0,Project Manager,OH,110317.90318416523,165887.75455820476,1.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1081,1081.0,Senior Cyber Applied Mathematician,OH,110317.90318416523,165887.75455820476,1.0,0.0,1.0,0.0,0.0,0.0,165887.75455820476
1082,1082.0,Business Systems Analyst,SC,73100.0,166000.0,0.0,0.0,0.0,0.0,0.0,0.0,166000.0
1083,1083.0,Data Analyst III (REMOTE),WV,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1084,1084.0,Data Scientist,GA,110317.90318416523,165887.75455820476,1.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1085,1085.0,Sr. IT FTP Data Engineer,GA,110317.90318416523,165887.75455820476,1.0,1.0,0.0,1.0,0.0,0.0,165887.75455820476
1086,1086.0,Lead Data Scientist,GA,93000.0,191000.0,1.0,0.0,0.0,1.0,0.0,0.0,191000.0
1087,1087.0,Office of Transportation Data- Transportation Specialist 2- TRP051- PG L- Special Projects Statistical Analyst,GA,110317.90318416523,165887.75455820476,0.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1088,1088.0,Bioinformatics Data Scientist Consultant (FEDHEALTH Sector),GA,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,1.0,165887.75455820476
1089,1089.0,"P&C Actuary, Commercial Software Development",GA,105000.0,175000.0,1.0,0.0,0.0,1.0,0.0,0.0,175000.0
1090,1090.0,Model Development Analyst,AL,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1091,1091.0,Data Analyst III (REMOTE),HI,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1092,1092.0,Marketing Operational Data Scientist (Remote),US,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1093,1093.0,Senior Claims Data Analyst,NC,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1094,1094.0,Distribution Asset Management Leader,NC,112675.0,152425.0,0.0,0.0,0.0,0.0,0.0,0.0,152425.0
1095,1095.0,Program Manager - Data Stewardship,NC,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1096,1096.0,Senior Statistician - EMEA - The Americas - Office Based - Home Based,NC,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1097,1097.0,Mid-Level Computer Vision Deep Learning Engineer,NC,110317.90318416523,165887.75455820476,1.0,0.0,1.0,0.0,0.0,0.0,165887.75455820476
1098,1098.0,AI Governance Center Fellow,NH,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1099,1099.0,"Director, Data Engineering",MI,180000.0,220000.0,1.0,0.0,0.0,1.0,0.0,0.0,220000.0
1100,1100.0,Research Engineer/Scientist I,MI,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1101,1101.0,Senior Machine Learning Engineer,MI,150000.0,200000.0,1.0,0.0,0.0,1.0,0.0,0.0,200000.0
1102,1102.0,Data Engineer & Analyst,KY,80000.0,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1103,1103.0,MLOps Principal Engineer,ME,125000.0,155000.0,1.0,1.0,1.0,0.0,0.0,0.0,155000.0
1104,1104.0,Data Scientist,NJ,120000.0,130000.0,1.0,0.0,0.0,0.0,0.0,0.0,130000.0
1105,1105.0,Statistical Analyst,NJ,70034.0,165887.75455820476,0.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1106,1106.0,Principal IT Data Analyst II,NJ,71820.0,139600.0,1.0,0.0,0.0,1.0,0.0,0.0,139600.0
1107,1107.0,Support Operations Engineer,NJ,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,1.0,165887.75455820476
1108,1108.0,Computer Scientist/Data Analyst II,NJ,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1109,1109.0,"Senior Finance Analyst, FTS NA",NJ,73000.0,117300.0,0.0,0.0,0.0,0.0,0.0,0.0,117300.0
1110,1110.0,"Manager, Rapid Data Labs, Research IT Data Engineering",NJ,110317.90318416523,165887.75455820476,1.0,1.0,0.0,1.0,1.0,0.0,165887.75455820476
1111,1111.0,Data Science Engineer,OR,110317.90318416523,165887.75455820476,1.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1112,1112.0,Business System Analyst,OR,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1113,1113.0,ISD Engineer IV-Data Engineering (AI/ML/NLP),VA,101000.0,185200.0,1.0,0.0,0.0,1.0,0.0,0.0,185200.0
