,Job Title,Location,Salary From,Salary To,Python,Java,C++,SQL,Javascript,linux
236,Data Engineer - Snowflake,TX,,,1,0,0,1,0,0
237,"Decision Science Analyst Lead- (Hybrid Only, Relocation is Offered)",TX,115240.0,220270.0,1,0,0,1,0,0
238,Government Consulting Services Consultant,TX,80000.0,110000.0,0,0,0,0,0,0
239,Climate Transition Risk Model Development SVP - Hybrid,TX,150940.0,226410.0,1,0,1,0,0,0
240,Senior Data Scientist for Oil and Gas,TX,,,1,0,0,1,0,0
241,PEPI Director - Generative AI Solutions Architect (Open to All US Locations),TX,,,0,0,0,0,0,0
242,BUSINESS INTELLIGENCE ANALYST,MO,59322.0,96762.0,1,0,0,1,0,0
243,Lead Data Scientist,KS,93000.0,191000.0,1,0,0,1,0,0
244,Data Manager I,KS,65000.0,99000.0,0,0,0,0,0,0
245,Structured Products Investment Associate,VT,,,1,0,0,1,0,0
246,Big Data Architect,FL,,,1,1,0,1,0,0
247,Marketing Science Manager,FL,,,1,0,0,1,0,0
248,"Specialized Analytics Lead Data Engineer, VP - Hybrid",FL,121440.0,182160.0,1,0,0,1,0,0
249,Sr. Operations and Data Analytics Engineer,FL,,,0,0,0,0,0,0
250,Senior Machine Learning Engineer,FL,70300.0,139800.0,1,0,0,0,0,0
251,"Machine Learning Architect (Senior Consultant) - Deloitte Center for AI Computing | Businesses, Global and Strategic Services (BGS)",FL,,,0,0,0,0,0,0
252,Data Scientist,MD,,,1,0,0,1,0,0
253,Summer Camp Instructor -AI and Data Science Class,MD,62400.0,,1,0,0,0,0,0
254,All Source / Target Digital Network Analyst,MD,130000.0,160000.0,1,0,0,0,0,0
255,"Data Scientist, Crypto Investment Firm",MD,140000.0,170000.0,1,0,0,1,0,0
256,Data Scientist - Mid Level,MD,,,1,0,0,0,0,0
257,Senior Machine Learning Engineer,MD,,,0,0,0,0,0,0
258,IC21D3 - Sr Data Scientist - Cleared,MD,,,1,0,0,0,0,0
259,Application Engineer IV (API),MD,,,1,0,0,1,0,0
260,Software Engineer (Skill Level 0),MD,,,1,1,0,1,1,1
261,Business Data Analyst,WY,,,0,0,0,1,0,0
262,Data Scientist [NYC],NY,,,1,0,0,1,0,0
263,Business Analyst,NY,150000.0,278600.0,0,0,0,1,0,0
264,[TECH-US] [DATA] Senior Manager Data Engineering,NY,170000.0,220000.0,1,0,0,1,0,0
265,"Data Engineer, Business Systems",NY,130000.0,230000.0,1,1,0,1,0,0
266,"Sr. Data Engineer, Finance Products (Remote)",NY,118000.0,231500.0,1,1,0,1,0,0
267,"Sr. Data Analyst, CRM Lead",NY,86000.0,100000.0,1,0,0,1,0,0
268,Email Marketing Specialist,NY,80000.0,95000.0,0,0,0,0,0,0
269,"Software Engineer, Machine Learning - Generative AI",NY,173000.0,241000.0,1,1,1,0,0,0
270,Manager Climate Data Science,NY,83981.0,110225.0,0,0,0,0,0,0
271,Machine Learning Engineer,NY,85000.0,120000.0,1,0,1,0,0,0
272,Business Intelligence Architect and Designer,NY,119000.0,142000.0,0,0,0,1,0,0
273,"Director, Visa Managed Services, Consulting & Analytics",NY,,,0,0,0,0,0,0
274,"AI Engineer, VP - Natural Language Processing (New York, NY)",NY,150000.0,250000.0,1,1,0,0,0,0
275,Senior Audit Manager - Data Analytics,NY,146000.0,185000.0,0,0,0,0,0,0
276,Postdoctoral Associate - Machine Learning and Veterinary Medicine,NY,54840.0,75000.0,1,0,0,0,0,0
277,"Director, Data & Analytics",WI,,,0,0,0,0,0,0
278,Statistician - Direct Hire,NM,69107.0,128043.0,0,0,0,0,0,0
279,Data Scientist,PA,,,1,0,0,0,0,0
280,Senior Data Scientist,PA,120000.0,150000.0,1,0,0,1,0,0
281,Machine Learning/Natural Language Generation Scientist,PA,,,1,1,0,0,0,0
282,Lead Data Scientist,PA,93000.0,191000.0,1,0,0,1,0,0
283,"Statistical Analyst, Biostatistics",PA,,,1,0,0,1,0,0
284,Senior Machine Learning Engineer,PA,70300.0,139800.0,1,0,0,0,0,0
285,Bioinformatics Senior Research Specialist,PA,46644.0,76440.0,0,0,0,0,0,0
286,"Manager, Data Engineering",CO,81800.0,167200.0,0,0,0,1,0,0
287,Conversational AI Digital Analyst,CO,,,0,0,0,1,0,0
288,"NLP Data Scientist, Magnifi",CO,120000.0,180000.0,1,0,0,0,0,0
289,Senior Machine Learning Engineer,CO,150000.0,200000.0,1,0,0,1,0,0
290,Labs - Data Scientist - Senior Associate,CO,,,1,1,1,1,1,0
291,Junior Data Scientist,IL,,,1,0,0,1,0,0
292,Data Scientist,IL,65000.0,90000.0,1,1,0,1,0,0
293,Senior Data Analyst,IL,,,1,0,0,1,0,0
294,Data Engineer,IL,,,0,0,0,1,0,0
295,Data Science Senior Associate,IL,,,1,0,0,1,0,0
296,Business Analytics Developer,IL,42000.0,,0,0,0,0,0,0
297,Mathematician I/II - Chicago (Hybrid),IL,81600.0,91700.0,0,1,1,1,1,0
298,SENIOR PERFORMANCE ANALYST,IL,75852.0,,0,0,0,0,0,0
299,Programmatic Campaign Analyst - Chicago,IL,,,0,0,0,0,0,0
300,Embedded Analyst,IL,,,0,0,0,1,0,0
301,Data Analyst,MN,,,1,0,0,1,0,0
302,Senior Backend Engineer (AI Startup),MN,120000.0,180000.0,0,0,0,0,0,0
303,Natural Language Processing Research Programmer,MN,,,1,1,1,1,0,0
304,"Lead Software Engineer, Data Engineering",NE,85300.0,170000.0,1,1,1,1,1,1
305,"Manager, Digital Analytics",OH,,,1,0,0,1,0,0
306,Business Intelligence (BI) Reporting Analyst,OH,,,1,0,0,1,0,0
307,Researcher Scientist – Applied Mathematics,OH,,,1,0,1,0,0,0
308,Business Intelligence Engineer - Qlik/Tableau,OH,,,0,0,0,1,0,0
309,"Respiratory Therapist Sleep Lab Burnet Campus, 6:30pm - 7:00am",OH,,,0,0,0,0,0,0
310,Data Engineer & Analyst,SC,80000.0,,1,0,0,1,0,0
311,Data Scientist,WV,,,0,0,0,0,0,0
312,Senior Data Scientist,GA,,,1,0,0,0,0,0
313,"Sr. Data Engineer, Operations Decision Science",GA,,,0,0,0,1,0,0
314,"Senior Data Engineer, Advanced Analytics & Optimization",GA,,,1,1,0,1,0,0
315,"Senior Data Analyst, Supply Chain Analytics",GA,,,1,1,1,1,0,0
316,"Director, Labor Optimization",GA,,,0,0,0,0,0,0
317,Principal AI/ML Product Manager,GA,,,0,0,0,0,0,0
318,Data Analyst Consultant,AL,,,0,0,0,0,0,0
319,"Data Scientist, Honolulu",HI,,,0,0,0,1,0,0
320,Assistant Professor or Associate Professor of Computer Science-AI/ML (pos # 85094),HI,,,0,0,0,0,0,0
321,Data Analyst,NC,,,1,1,0,1,0,0
322,Assistant Professor,NC,,,0,0,0,0,0,0
323,Senior Technology Business Systems Consultant - Data Analyst + MDM,NC,101920.0,,0,0,0,0,0,0
324,Epic Applications Analyst- Cadence & Prelude,NC,,,0,0,0,0,0,0
325,Visiting Assistant Professor - Cyber Security,NC,,,0,0,0,0,0,0
326,Strategic Talent Insights Leader,NH,,,1,0,0,0,0,0
327,Senior Data Scientist,MI,120000.0,150000.0,1,0,0,1,0,0
328,Senior Analyst - Analytics,MI,,,0,0,0,1,0,0
329,"Assistant, Associate or Senior Research Scientist/Engineer",MI,,,0,0,0,0,0,0
330,Lead Data Scientist,KY,93000.0,191000.0,1,0,0,1,0,0
331,Part-Time Faculty (Temporary) in Data Science and Engineering,ME,,,0,0,0,0,0,0
332,Data Science Lead,NJ,,,1,1,1,1,1,0
333,Business Analyst,NJ,,,0,0,0,0,0,0
334,Medicaid Data Advisory Services Analyst,NJ,70000.0,95000.0,0,0,0,0,0,0
335,NLP Engineer,NJ,,,1,0,0,0,0,0
336,"Manager, Global Drug Safety & Pharmacovigilance Data Management & Analytics",NJ,,,0,0,0,1,0,0
337,"Data Scientist - Ads Measurement - Hoboken, NJ",NJ,,,1,0,0,1,0,0
338,Senior Actuarial Associate,NJ,93200.0,138600.0,1,0,0,1,0,0
339,Data Scientist - Contractor,US,,,1,0,0,1,0,0
340,Principal Product Analytics DIG,OR,,,1,0,0,1,0,0
341,Data Scientist,VA,,,1,0,0,1,0,0
342,Data Visualization Analyst,VA,135000.0,160000.0,1,0,0,1,0,0
343,Data Visualization Developer Expert | Work from Home!,VA,80000.0,115000.0,1,0,0,1,0,0
344,"Senior Data Analyst, Homes.com",VA,,,1,0,0,1,0,0
345,Data Scientist,VA,,,1,0,0,1,0,0
346,Data Scientist Senior Technical Specialist,VA,,,1,1,0,0,0,0
347,Principal Cloud Systems Engineer,VA,,,0,0,0,0,0,0
348,Assistant Director of Data and Business Analytics,VA,,,1,0,0,1,0,0
349,Software Product Management Analyst,VA,,,0,0,0,0,0,0
350,Data Engineer,OK,,,0,0,0,1,0,0
351,"Lecturer, Mathematical Sciences - Salve Regina University",RI,,,0,0,0,0,0,0
352,Data Scientist,WA,82000.0,109000.0,1,0,0,1,0,0
353,Staff Data Scientist - ATG,WA,159300.0,278700.0,1,0,0,0,0,0
354,"Engineering Manager, Machine Learning",WA,185000.0,283000.0,1,1,1,0,1,0
355,"Research Scientist, Multimodal Machine Learning - Trust and Safety",WA,129200.0,194750.0,1,1,0,0,0,0
356,Business Intelligence Engineer II,WA,78500.0,146000.0,1,0,0,1,0,0
357,Solution Architect - Data Analytics,WA,120000.0,155000.0,0,0,0,0,0,0
358,"Software Engineer, Product - Generative AI",WA,140000.0,204000.0,0,1,0,0,1,0
359,"Software Engineer, Infrastructure - Generative AI",WA,140000.0,204000.0,0,1,1,0,0,0
360,Senior Data Scientist,CT,120000.0,150000.0,1,0,0,1,0,0
